id 	institution sameAs 	institution 	TM collection 	THOT collection 	idno 	online 	idno type=TopBib 	alias 	type 	povenance id 	provenance 	note type=def 	Wikidata 	note type=Mariette
CoEg_obj_00000046 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 48862, JE 47086-47089 				stela 	CoEg_place_00000102 		« Stèle de la victoire de Piânkhy » (XXVe dynastie ; Gebel Barkal) 		
CoEg_obj_00000047 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 22181 				stela 	CoEg_place_00000159 		Stèle, parfois dite « de Mendès » (époque ptolémaïque, Thmouïs) 		
CoEg_obj_00000048 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 48864 				stela 	CoEg_place_00000102 		« Stèle du couronnement d'Aspelta » (Basse-Époque ; Gebel Barkal) 		
CoEg_obj_00000049 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 48865 				stela 	CoEg_place_00000102 		« Stèle du bannissement » (Basse-Époque ; Gebel Barkal) 		
CoEg_obj_00000050 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 48866 				stela 	CoEg_place_00000102 		« Stèle de l'élection d'Aspelta » (Basse-Époque ; Gebel Barkal) 		
CoEg_obj_00000051 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 424 	https://collections.louvre.fr/ark:/53355/cl010010408 			statue 	CoEg_place_00000004 		Socle de sphinx (Basse-Époque ; fouilles du Sérapéum) 		
CoEg_obj_00000052 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 22187/JE 22261 				stela 	CoEg_place_00000068 		« Décret de Canope » (époque ptolémaïque ; Tanis). Mariette évoque la « pierre de Sân » 	https://www.wikidata.org/wiki/Q1240912 	
CoEg_obj_00000053 		Musée de Boulogne-sur-Mer 	www.trismegistos.org/collection/1419 	http://thot.philo.ulg.ac.be/concept/thot-4628 	223.R13 				statue 	CoEg_place_imn 		Buste de Mariette (Jacquemart, 1880) 		
CoEg_obj_00000054 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 393 				statue 	CoEg_place_00000068 		Sphinx (Moyen Empire ; Tanis). Mariette l'attribuait aux Hyksos. 		
CoEg_obj_00000055 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 394 				statue 	CoEg_place_00000068 		Sphinx (Moyen Empire ; Tanis). Mariette l'attribuait aux Hyksos. 		
CoEg_obj_00000056 	CoEg_org_00000005 		www.trismegistos.org/collection/193 	http://thot.philo.ulg.ac.be/concept/thot-5040 	EA 147 	https://www.britishmuseum.org/collection/object/Y_EA147 			stela 	CoEg_place_00000001 		Stèle (époque ptolémaïque ; Saqqarah) 		
CoEg_obj_00000057 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	IM 3697 	https://collections.louvre.fr/ark:/53355/cl010020345 			stela 	CoEg_place_00000004 		Stèle (Troisième Période intermédiaire ; fouilles du Sérapéum) 		
CoEg_obj_00000058 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 713 	https://collections.louvre.fr/ark:/53355/cl010008949 			misc 	CoEg_place_imn 		Coupe de Djéhouty (Nouvel Empire ; sans provenance connue) 		
CoEg_obj_00000059 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 	Cat. 1879, 1969 et 1899 	http://collezioni.museoegizio.it/it-IT/material/Cat_1879_1969_1899 			papyrus 			Papyrus minier de Turin (Nouvel Empire ; Deir el-Médinah) 	https://www.wikidata.org/wiki/Q1889662 	
CoEg_obj_00000060 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 	Cat. 1874 	https://collezioni.museoegizio.it/it-IT/material/Cat_1874/ 			papyrus 			Papyrus royal de Turin (Nouvel Empire ; Deir el-Médinah) 	https://www.wikidata.org/wiki/Q622770 	
CoEg_obj_00000061 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 14 				statue 			Statue de Chéphren assis (Ive dynastie ; Gizah) 	https://www.wikidata.org/wiki/Q971646 	
CoEg_obj_00000062 	CoEg_org_00000005 		www.trismegistos.org/collection/193 	http://thot.philo.ulg.ac.be/concept/thot-5040 	EA 10221 				papyrus 	CoEg_place_00000019 		Papyrus Abbott (Nouvel Empire, Xxe dynastie ; Thèbes) 	https://www.wikidata.org/wiki/Q1794548 	
CoEg_obj_00000063 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 58042 = Boulaq 4 				papyrus 	CoEg_place_00000019 		Copie de l'Enseignement d'Ani (Thèbes, fin du Nouvel Empire) 		
CoEg_obj_00000064 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 34 				statue 	CoEg_place_00000001 		Statue de Kaâper, dite le cheikh el-beled (Ancien Empire, Ive/Ve dynastie ; Saqqarah) 		
CoEg_obj_00000065 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 6307 				stela 	CoEg_place_00000026 		Stèle de Néferhotep (Moyen Empire ; Abydos) 		
CoEg_obj_00000066 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 	Cat. 1885 	https://collezioni.museoegizio.it/it-IT/material/Cat_1885 			papyrus 	CoEg_place_imn 		Plan de la tombe de Ramsès IV 		
CoEg_obj_00000067 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 58059 = Boulaq 14 				papyrus 	CoEg_place_imn 		Lettre sur papyrus (Nouvel Empire ; sans provenance documentée) 		
CoEg_obj_00000068 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 58038 = Boulaq 17 				papyrus 	CoEg_place_00000019 		texte poétique (Nouvel Empire ; région thébaine) 		
CoEg_obj_00000069 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 58069 = Boulaq 18 				papyrus 	CoEg_place_00000019 		registre comptable (Moyen Empire ; région thébaine) 	https://www.wikidata.org/wiki/Q626807 	
CoEg_obj_00000070 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 58041 = Boulaq 13 ? 				papyrus 	CoEg_place_00000001 		papyrus littéraire (Nouvel Empire, Saqqarah) 		
CoEg_obj_00000071 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	E 3019 	https://collections.louvre.fr/ark:/53355/cl010019116 				CoEg_place_00000019 		Cerceuil de Sékhemrê-Oupmaât Antef-Âa (XVIIe dynastie, Thèbes) 		
CoEg_obj_00000072 	CoEg_org_00000005 		www.trismegistos.org/collection/193 	http://thot.philo.ulg.ac.be/concept/thot-5040 	EA 6652 	https://www.britishmuseum.org/collection/object/Y_EA6652 				CoEg_place_00000019 		Cerceuil de Noubkhéperrê Antef (XVIIe dynastie, Thèbes) 		
CoEg_obj_00000073 		Localisation inconnue 							stela 	CoEg_place_00000193 		Stèle de Chalouf (Basse-Époque, première occupation perse ; Chalouf ou Kabrit) 	https://www.wikidata.org/wiki/Q5222972 	
CoEg_obj_00000074 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 23 	https://collections.louvre.fr/ark:/53355/cl010010062 			statue 	CoEg_place_00000068 		Sphinx (Moyen Empire ; Tanis) réinscrit au nom de Mérenptah 		
CoEg_obj_00000075 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 21 	https://collections.louvre.fr/ark:/53355/cl010007400 			statue 	CoEg_place_00000068 		Sphinx (Moyen Empire ; Tanis) réinscrit au nom de Ramsès II ; pendant du sphinx Caire CG 1197 ? 		
CoEg_obj_00000076 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	AO 19857 	https://collections.louvre.fr/ark:/53355/cl010122557 			statue 	CoEg_place_00000201 		Taureau ailé assyrien (VIIIe siècle avant notre ère ; Khorsabad) 		
CoEg_obj_00000077 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	AO 19858 	https://collections.louvre.fr/ark:/53355/cl010122558 			statue 	CoEg_place_00000201 		Taureau ailé assyrien (VIIIe siècle avant notre ère ; Khorsabad) 		
CoEg_obj_00000078 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	AO 19859 	https://collections.louvre.fr/ark:/53355/cl010122685 			statue 	CoEg_place_00000201 		Taureau ailé assyrien (VIIIe siècle avant notre ère ; Khorsabad) 		
