letter_id	letter_title	authority	ms_id	id repository	repository	settlement	idno	locus	creation	date	author_id	author	author_BNF_URL	author_certainty	place_id	lat	lon	place	place_GeoName_URL	place_certainty	recipient_id	recipient	recipient_BNF_URL	recipient_certainty
CoEg_Mariette_1876-07-05	Le 5 juillet 1876, de Pont-de-Briques, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	132-133	1876-07-05	5 juillet 1876	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1876-07-19	Le 19 juillet 1876, de Pont-de-Briques, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	134-135	1876-07-19	19 juillet 1876	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1876-07-21	Le 21 juillet 1876, de Pont-de-Briques, à Chabas	Thomas Lebée	CoEg_Mariette_ms_023	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	Ms. 2587	381-384	18xx-07-21	18xx-07-21	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000316	Chabas, François	https://catalogue.bnf.fr/ark:/12148/cb12335105s	certain
CoEg_Mariette_1876-08-02	Le 2 août 1876, de Pont-de-Briques, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	136	2 août 1876	2 août 1876	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1876-08-29	Le 29 août 1876, de Pont-de-Briques, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	137-138	1876-08-29	29 août 1876	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1876-09-16	Le 16 septembre 1876, de Pont-de-Briques, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	139-140	1876-09-16	16 septembre 1876	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1877-05-18	Le 18 mai 1877, de Pont-de-Briques, à Chabas	Thomas Lebée	CoEg_Mariette_ms_024	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	Ms. 2588	324-327	1877-05-18	18 mai 1877	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000133	50.681667	1.625833	Pont-de-Briques	https://www.geonames.org/2980283	certain	CoEg_pers_00000316	Chabas, François	https://catalogue.bnf.fr/ark:/12148/cb12335105s	certain
CoEg_Mariette_1879-05-02	Le 2 mai 1879, de Boulaq, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	143-144	1879-05-02	2 mai 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-05-05	Le 5 mai 1879, sans doute de Boulaq, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	145	1879-05-05	5 mai 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	conjecture	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-05-08	Le 8 mai 1879, de Boulaq, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	146-147	1879-05-08	8 mai 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-05-10	Le 10 mai 1879, sans doute de Boulaq, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	148-149	1879-05-10	10 mai 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	conjecture	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-06-20	Le 20 juin 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	150-151	1879-06-20	20 juin 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-06-25	Le 25 juin 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	152	1879-06-25	25 juin 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-09-21	Le 21 septembre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	153-154	21/3 septembre 1879	21/3 septembre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-10-01	Le 1er octobre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	155-156	1879-10-01	1 octobre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-10-07	Le 7 octobre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	157	1879-10-07	7 octobre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-10-12	Le 12 octobre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	158	1879-10-12	12 octobre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-10-21	Le 21 octobre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	159-161	1879-10-21	21 octobre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-10-22	Le 22 octobre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	162-164	1879-10-22	22 octobre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-10-25	Le 25 octobre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	165-166	1879-10-25	25 octobre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-11-02	Le 2 novembre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	167	1879-11-02	2 novembre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
CoEg_Mariette_1879-11-06	Le 6 novembre 1879, de Paris, au président de la commission des missions scientifiques	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1879-11-06	6 novembre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000238	Ferry, Jules	https://catalogue.bnf.fr/ark:/12148/cb12513455m	certain
CoEg_Mariette_1879-11-12	Le 12 novembre 1879, de Boulogne-sur-Mer, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	168	1879-11-12	12 novembre 1879	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s	certain
