person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	dataBnF	IDRef	VIAF	idno Wikidata	ISNI (ne semble pas comporter d'entrées absentes du VIAF)
CoEg_pers_00000190	myth	Amon	Dieu égyptien							https://www.idref.fr/027398722	https://viaf.org/viaf/306390671	https://www.wikidata.org/wiki/Q58373	
CoEg_pers_00000191	myth	Sobek	Dieu égyptien							https://www.idref.fr/166417173	https://viaf.org/viaf/35291212	https://www.wikidata.org/wiki/Q146313	
CoEg_pers_00000192	myth	Rê	Dieu égyptien							https://www.idref.fr/027402568	https://viaf.org/viaf/32792135	https://www.wikidata.org/wiki/Q1252904	
CoEg_pers_00000193	hist	Dodwell, Henry	Érudit	1641	1711			https://catalogue.bnf.fr/ark:/12148/cb14506115b	https://data.bnf.fr/ark:/12148/cb14506115b	https://www.idref.fr/123231558	https://viaf.org/viaf/19912139	https://www.wikidata.org/wiki/Q3132744	
CoEg_pers_00000194	hist	Marsham, John								https://www.idref.fr/103968970	https://viaf.org/viaf/1067833	https://www.wikidata.org/wiki/Q7527919	
CoEg_pers_00000195	hist	Osorkon II	Roi égyptien (XXIIe dynastie)								https://viaf.org/viaf/107787928	https://www.wikidata.org/wiki/Q459153	
CoEg_pers_00000196	hist	Des Vignoles, Alphonse						https://catalogue.bnf.fr/ark:/12148/cb10566310v	https://data.bnf.fr/ark:/12148/cb10566310v	https://www.idref.fr/071420037	https://viaf.org/viaf/69707326	https://www.wikidata.org/wiki/Q2839770	
CoEg_pers_00000198	hist	Chéchonq IV	Roi égyptien (XXIIIe dynastie)									https://www.wikidata.org/wiki/Q781765	
CoEg_pers_00000200	contemp	Lenormant, François	Orientaliste	1837	1883			https://catalogue.bnf.fr/ark:/12148/cb12954608d	https://data.bnf.fr/ark:/12148/cb12954608d	https://www.idref.fr/061234508	https://viaf.org/viaf/71523229	https://www.wikidata.org/wiki/Q1347918	
CoEg_pers_00000201	hist	Ioufânkh					Mariette emploie la forme « Aufankh »						
CoEg_pers_00000202	hist	Macrobe						https://catalogue.bnf.fr/ark:/12148/cb11999201s	https://data.bnf.fr/ark:/12148/cb11999201s	https://www.idref.fr/03092166X	https://viaf.org/viaf/39387062	https://www.wikidata.org/wiki/Q313934	
CoEg_pers_00000203	hist	Ptolémée XV Césarion	Roi égyptien (dynastie lagide)								https://viaf.org/viaf/67910474/	https://www.wikidata.org/wiki/Q39589	
CoEg_pers_00000204	hist	Pausanias le Périégète						https://catalogue.bnf.fr/ark:/12148/cb11918834h	https://data.bnf.fr/ark:/12148/cb11918834h	https://www.idref.fr/028159969	https://viaf.org/viaf/77132959	https://www.wikidata.org/wiki/Q192931	
CoEg_pers_00000205	hist	César	Homme d'État romain	100	44			https://catalogue.bnf.fr/ark:/12148/cb11894764p	https://data.bnf.fr/ark:/12148/cb11894764p	https://www.idref.fr/027303136	https://viaf.org/viaf/286265178/	https://www.wikidata.org/wiki/Q1048	
CoEg_pers_00000206	hist	Clépopâtre VII	Reine égyptienne	v. 69	30			https://catalogue.bnf.fr/ark:/12148/cb11938532d	https://data.bnf.fr/ark:/12148/cb11938532d	https://www.idref.fr/027316564	https://viaf.org/viaf/67762941/	https://www.wikidata.org/wiki/Q635	
CoEg_pers_00000207	contemp	Luynes (d'Albert de), Honoré Théodoric	Antiquaire	1803	1867			https://catalogue.bnf.fr/ark:/12148/cb123479468	https://data.bnf.fr/ark:/12148/cb123479468	https://www.idref.fr/087189488	https://viaf.org/viaf/46835180	https://www.wikidata.org/wiki/Q444237	
CoEg_pers_00000208	myth	Astarté	Déesse orientale							https://www.idref.fr/027454223	https://viaf.org/viaf/805767	https://www.wikidata.org/wiki/Q130274	
CoEg_pers_00000209	myth	Isis	Déesse égyptienne							https://www.idref.fr/027599167	https://viaf.org/viaf/313298566/	https://www.wikidata.org/wiki/Q79876	
CoEg_pers_00000210	myth	Nephthys	Déesse égyptienne							https://www.idref.fr/198066457	https://viaf.org/viaf/359149617030003752230	https://www.wikidata.org/wiki/Q169040	
