id	placeName	lat	lon	def	note type=Mariette	GeoName_URL	Pleiades_URL	TopBib_URL	TMGeo_URL	Wikidata_URL
CoEg_place_00000065	Rome	41.89193 	12.51133 			https://www.geonames.org/3169070	https://pleiades.stoa.org/places/423025	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-140-070	https://www.trismegistos.org/place/2058	https://www.wikidata.org/wiki/Q220
CoEg_place_00000066	Athènes	37.98376 	23.72784 			https://www.geonames.org/264371	https://pleiades.stoa.org/places/579885	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-080-040	https://www.trismegistos.org/place/364	https://www.wikidata.org/wiki/Q1524
CoEg_place_00000067	Chypre	35	33			https://www.geonames.org/146669	https://pleiades.stoa.org/places/707498	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-090-010	https://www.trismegistos.org/place/528	https://www.wikidata.org/wiki/Q229
CoEg_place_00000068	Tanis	30.97478 	31.87231 			https://www.geonames.org/349653	https://pleiades.stoa.org/places/727236 	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=401-260	https://www.trismegistos.org/place/2252	https://www.wikidata.org/wiki/Q817286
CoEg_place_00000069	Cysis	0	0							
CoEg_place_00000070	Allemagne	51.5 	10.5 			https://www.geonames.org/2921044		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-130	https://www.trismegistos.org/place/3245	https://www.wikidata.org/wiki/Q183
CoEg_place_00000071	Annecy	45.90878 	6.12565 			https://www.geonames.org/3037543			https://www.trismegistos.org/place/20689	https://www.wikidata.org/wiki/Q50189
CoEg_place_00000072	Basse-Égypte	31	31			https://www.geonames.org/352260			https://www.trismegistos.org/place/2712	https://www.wikidata.org/wiki/Q463871
CoEg_place_00000073	El-Kab/Eléthya	25.11952 	32.79812 	(الكاب [Al-Kāb])		https://www.geonames.org/360986	https://pleiades.stoa.org/places/440947682	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=505-010	https://www.trismegistos.org/place/611	https://www.wikidata.org/wiki/Q287705
CoEg_place_00000074	Orient	0	0							https://www.wikidata.org/wiki/Q205653
